scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
grype,docker.io+anchore+test_images@sha256_6749b1509fc4dd3f2b4e8688325fc5d447751bc9ae3be10c0f1fb92ec062b798,3,0,1.0,3,11,3,0,0,28,31
grype,docker.io+anchore+test_images@sha256_746d31247006cc06434ce91ccf3523b2c230ff6c378ffed7ca1c60bbb48ea86f,564,5,0.9912126537785588,569,8,564,0,5,304,868
grype,docker.io+anchore+test_images@sha256_7536ee345532f674ec9e448e3768db4e546c48220ba2b6ec9bc9cfbfb3b7b74a,7,7,0.5,14,15,7,0,7,90,97
grype,docker.io+anchore+test_images@sha256_808f6cf3cf4473eb39ff9bb47ead639d2ed71255b75b9b140162b58c6102bcc9,115,20,0.8518518518518519,135,96,115,37,20,669,813
grype,docker.io+anchore+test_images@sha256_92f1981518e92bf3712ff95cf342f7f4d5fc83fb93a30a36d7d1204e64342199,0,4,0.0,4,0,0,0,4,0,0
grype,docker.io+anchore+test_images@sha256_a287a0ff98ac343aa710f4f4258d7198e240e9d416d5c7274663564202f832fb,34,17,0.6666666666666666,51,24,34,13,17,35,69
grype,docker.io+anchore+test_images@sha256_b2b58a55c0b03c1626d2aaae2add9832208b02124dda7b7b41811e14f0fb272c,0,0,0.0,0,345,0,0,0,0,0
grype,docker.io+anchore+test_images@sha256_b3534fc2e37943136d5b54e3a58b55d4ccd4363d926cf7aa5bf55a524cf8275b,0,50,0.0,50,391,0,0,50,0,0
grype,docker.io+anchore+test_images@sha256_ba42ded8613fc643d407a050faf5ab48cfb405ad3ef2015bf6feeb5dff44738d,17,2,0.8947368421052632,19,19,17,10,2,51,68
grype,docker.io+anchore+test_images@sha256_c27b02c6322180fd8a7a3097d2b430bfdf9ea52ecf136edf258458e82f2c6f21,284,2,0.993006993006993,286,18,284,16,2,30,315
grype,docker.io+anchore+test_images@sha256_c8d664b0e728d52f57eeb98ed1899c16d3b265f02ddfb41303d7a16c31e0b0f1,0,16,0.0,16,14,0,0,16,0,0
grype,docker.io+anchore+test_images@sha256_cf742eca189b02902a0a7926ac3fbb423e799937bf4358b0d2acc6cc36ab82aa,0,175,0.0,175,78,0,0,175,0,0
grype,docker.io+anchore+test_images@sha256_d1819e59e89e8ea90073460acb4ebb2ee18ccead9fa880dae91e8fc61b19ca1c,23,1,0.9583333333333334,24,14,23,12,1,131,155
grype,docker.io+anchore+test_images@sha256_e25a9a175433c2bfe9c04e6482e6c5eca0491629144c78061763f7f604fdea80,4,23,0.14814814814814814,27,0,4,0,23,11,15
grype,docker.io+anchore+test_images@sha256_f56164678054e5eb59ab838367373a49df723b324617b1ba6de775749d7f91d4,0,15,0.0,15,760,0,0,15,0,0
grype,docker.io+anchore+test_images@sha256_f8e72da9f67caf90714926e7b21f0da93ca1e528b37a97dffe71e2ec38872a8b,31,26,0.543859649122807,57,0,31,0,26,77,108
grype,docker.io+anchore+test_images@sha256_fe242a3a63699425317fba0a749253bceb700fb3d63e7a0f6497f53a587e38c5,18,0,1.0,18,10,18,0,0,191,209
grype,docker.io+centos@sha256_3688aa867eb84332460e172b9250c9c198fdfd8d987605fd53f246f498c60bcf,648,4,0.9938650306748467,652,10,648,2,4,335,984
grype,docker.io+debian@sha256_81e88820a7759038ffa61cff59dfcc12d3772c3a2e75b7cfe963c952da2ad264,75,0,1.0,75,1,75,1,0,0,76
grype,docker.io+elastic+kibana@sha256_b9e3e52f61e0a347e38eabe80ba0859f859023bc0cc8836410320aa7eb5d3e02,8,0,1.0,8,10,8,0,0,145,153
grype,docker.io+ghost@sha256_42137b9bd1faf4cdea5933279c48a912d010ef614551aeb0e44308600aa3e69f,44,20,0.6875,64,22,44,0,20,118,162
grype,docker.io+jenkins+jenkins@sha256_6fd5699ab182b5d23d0e3936de6047edc30955a3a92e01c392d5a2fd583efac0,41,5,0.8913043478260869,46,22,41,20,5,302,357
grype,docker.io+neo4j@sha256_fcfcbb026e0e538bf66f5fe5c4b2db3dd4931c3aae07f13a5a8c10e979596256,27,5,0.84375,32,7,27,6,5,143,176
grype,docker.io+oraclelinux@sha256_a06327c0f1d18d753f2a60bb17864c84a850bb6dcbcf5946dd1a8123f6e75495,0,1,0.0,1,0,0,0,1,0,0
